Utiliser;pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;;;;;
non;Brésil;Rio de Janeiro;;;"> Boire une caipirhina dans un café donnant sur la célèbre plage de Copacabana.
> Monter jusqu'au Corcovado ou au pain de sucre pour avoir une vue magnifique sur l'ensemble de la ville.
> Se perdre dans le parc national de Tijuca pour un instant nature ainsi que pour découvrir la faune et flore locale.
> Goûter à la vie locale en mangeant un Feijoada dans le quartier haut en couleurs de Santa Teresa.";9;26;2;2;2;3;3;3;3;3;3;3;3;2;-22.922188;-43.168282;;;;;
non;Bulgarie;Sofia;oui;;"> S'offrir une vodka dans l'un des petits bars de la ville
> Déguster un assortiment de viandes et légumes grillés dans une mehana (restaurant traditionnel).
> Aller voir l'église de Boyana, datant du 13ème siècle et classée au patrimoine mondial par l'UNESCO.
> Visiter la cathédrale Alexandre Nevski, une des plus grandes d'Europe, et son marché de souvenirs communistes.";8;30;0;0;1;1;2;3;3;3;3;1;1;0;42.6958001;23.3326573;;;;;
oui;Cambodge;Phnom Penh;oui;"Fondée en 1434, Phnom Penh resta un village jusqu'à l'arrivée des colons français. C'est donc au 19ème siècle que ""la perle d'Asie"" s'étendit et acquit son palais royal et ses bâtiments coloniaux. Après cette faste période vinrent les atrocités lorsqu'en 1975, la ville tomba aux mains des Khmers rouges. Elle n'est libérée par les vietnamiens que 4 ans plus tard. Cependant 80% de la population avait déjà péri à cause des privations et de la torture. Le musée Tuol Sieng permet de se rendre compte de l'horreur de cette période.
Aujourd'hui la capitale du Cambodge renaît et est en plein essor. Elle mêle passé et présent, pauvreté absolue et richesse extrême. La mutation en cours en fait une des plus plaisantes capitales d'Asie en devenir.
Entre le charme de ses pagodes, ses marchés grouillant de vie, le musée national rassemblant les plus belles oeuvres Khmers au monde, 2 à 3 jours ne sont pas de trop pour découvrir les attraits de Phnom Penh.";"> Se méler à l'ambiance survoltée de la foule assistant à un combat de boxe Khmer (gratuit les samedis et dimanches devant le studio CTN).
> Donner de son temps pour une association caritative (CHOICE). Départ d'une journée tous les matins.
> S'émerveiler devant la beauté du palais royal.
> Le weekend,  se balader sur le marché de nuit Phsar Reatrey, le long du quai Sisowath.
> Se remettre en forme avec une scéance de sport collective au stade Olympique.
> Accorder un moment de réflexion face aux atrocités vécus sous le règne Khmer avec la visite du musée du génocide.";6;17;3;3;3;2;2;2;1;1;1;2;2;3;11.5644048;104.92994;;;;;
non;Cambodge;Siem Reap;;;"> Voir le levé du jour donné une aura mystique aux temples d'Angkor.
> Faire une balade en remorque pour découvrir les charmes de la campagne alentours (rizières, villages sur piloti...).
> Participer à une bonne cause en prenant un cours de poterie au Centre de la Céramique Khmer. La visite simple est gratuite.
> Sortir du centre ville pour goûter la délicieuse cuisine Khmer.
ATTENTION:  ne pas quitter les chemins balisés dans la campagne, il reste encore de nombreuses mines.";5;21;3;3;2;1;2;1;1;1;1;2;3;3;13.4124876;103.8662776;;;;;
non;Canada;Montreal;;;"> Flâner dans le superbe Jardin botanique de Montréal, qui ouvre ses portes gratuitement chaque soir à partir de 18 heures.
> En été, profiter du concours international de feux d'artifice pour en prendre plein les yeux.
> Début juillet, assister à l'un des très nombreux concerts gratuits lors du Festival de Jazz.
> Prendre un bon bol d'air pur en allant promener au Parc du Mont Royal  et avoir une vue magnifique sur la ville.
> S'immerger dans une ambiance ""vieux continent"" en flânant dans la vieille ville de Montreal et ses rues pavés.
> Fureter dans le marché ""Jean Talon"", temple des produits frais et artisanaux (goûter le cidre des glaces... un délice).";15;35;0;0;0;0;1;3;3;3;1;1;0;0;45.5047434;-73.5572577;;;;;
oui;Canada;Québec;;"Fondée par les français en 1608 pour devenir la capitale coloniale de la ""Nouvelle-France"", Québec tombe aux mains dans troupes britanniques en 1759. Elle a été la capitale (partagée avec Toronto) du Canada-Uni de 1859 à 1865, ce qui lui vaut le surnom de ""Vieille Capitale "".
De son passé coloniale elle a gardé, outre la langue française, son imposant Château Frontenac, ses charmantes petites rues pavées, sa citadelle en étoile et le marché du vieux port. Ces spécificités lui ont permis d’être inscrite au patrimoine mondial de l’UNESCO. Mais il suffit de sortir des remparts pour voir la ville moderne, avec ses jardins publics potagers devant le parlement, ses murs couverts d’art de rue, ses musées … 
Bien que le Canada soit connu comme une destination hivernale, la ville foisonne d’activités toute l’année, en été, les festivals s’enchainent dans les rues et l’hiver les activités en plein air sont légion.";"> Déambuler dans le quartier historique du petit Champlain, avec ses rues pavés. N'hésitez pas a entrer dans le magasin de gravure sur bois pour voir travailler le sculpteur.
> Visiter l'église Notre Dâme de Québec, la plus vieille paroisse d'Amérique du Nord.
> Participer à une visite guidée de nuit sur l'histoire de la criminalité. Passionant et vraiment enrichissant quand à l'histoire de la ville.
> Pédaler le long de la promenade Samuel de Champlain, le long du Saint Laurent et profiter de la douceur de vivre (surtout le printemps et l'été).
> Découvrir la culture amérindienne au coeur de la réserve Huron Wandate.
> S'impregner de l'histoire de la ville en visitant l'étonnante citadelle de Québec, en forme d'étoile. Apprendre pourquoi un bélier figure l'emblème du 22ème régiment.
> S'immerger dans la culture canadienne en allant voir un match de hockey à la patinoire du colisée Pepsi.";17;36;0;0;0;0;1;3;3;3;1;1;0;0;46.812048;-71.204406;;;;;
non;Canada;Toronto;;;"> N'hésitez pas à acheter le City Pass, avantageux dans cette ville et qui en plus sert de billet coupe-file.
> Monter au sommet de la CN tower en empruntant son ascenseur transparent pour avoir une vue 360° de la ville (inclus dans le CityPass).
> Déambuler dans le Distillery District. Les amateurs de bière pourront y découvrir des bières locals, et les autres profiter de son architecture très mignonne.
> Visiter le Hockey Hall of Fame, typique de la ville.
> Pour les fans du Moyen Age, assister au spectacle ""Medievale Times"". Bon dans le temps assuré";22;30;0;0;0;1;1;3;3;3;3;1;0;0;43.6425696;-79.3873293;;;;;
non;Canada;Vancouver;;;;18;35;0;1;1;1;1;3;3;3;1;1;0;0;49.2694395;-123.2589868;;;;;
non;Chili;Ile de Pâques;;;"> Observer les petroglyphes marin de Papa Vaka
> Visiter l'ancien centre cérémoniel Pascuan d'Orongo, sur les flanc du volcan Rano Kau.
> S'interroger devant les Moaï (statues de l'île de Pâques) du ahu Tongariki.
> Bronzer sur le sable blanc bordé de palmier de la plage de Anakena.";25;;2;2;2;1;1;3;3;3;3;3;3;2;-27.0911234;-109.3779564;;;;;
non;Chili;Santiago;oui;;"ASTUCES
 > Le taux de change sera plus avantageux ?antiago que dans le reste du pays. 
 > Sky airlines propose des tarifs en avion ?eine plus cher que le bus.";14;19;3;3;1;1;1;1;1;1;1;1;1;3;-33.4378394;-70.6507532;;;;;
non;Chine;Hong Kong;;;"> De nuit, musarder sur le marché de Temple street où se côtoient vendeurs de souvenirs, cartomancienne, street food, chanteurs d'opéras cantonnais ...
> Monter au sommer du Pic Victoria pour une vue insaisissable sur la baie de Hong Kong.
> Se prendre pour une star en comparant ses traces de mains à celles des stars Hong Kongaise le long de l'avenue des stars.
> Se perdre dans les ruelles du vieux Hong Kong.
> Déguster un Dim Sum
> Flâner sur le front de mer de Tsim sha Tsui en regardant la silhouette de la ville se découper de l'autre côté de la baie.";15;29;3;3;3;2;0;0;0;0;0;2;3;3;22.286178;114.1566148;;;;;
non;Chine;Pekin;oui;;"> Musarder dans le marché nocturne de Temple Street où se cotoit vendeurs de souvenirs, chanteurs d'opéra, voyante, street food ....
> Monter au sommer du Pic Victoria pour une vue insaisissable sur les grattes-ciel et le port.
> 3 périodes par an, vivre des moments magiques avec un spectacle son et lumière en 3D  projetés sur le Centre culturel de Hong Kong (Pulse 3D light show)";8;21;0;0;0;1;3;3;0;2;3;1;0;0;39.916427;116.3965726;;;;;
non;Chine;Shangai;;;"> Boire un verre au Vue Bar pour une vue imprenable sur Shanghai
> Balader dans les jardins Yuyuan et se retrouver dans l'atmosphère de la dynastie Ming
> Découvrir un hobby millénaire et s'étonner devant l'enthousiasme des chinois pour une lutte opposants... 2 criquets (ou autres insectes). Tous  les matins rue Liuhekou.
> Se promener sur le Bund, célèbre promenade de Shanghai";10;27;1;1;1;2;3;2;2;2;2;3;1;1;31.2396935;121.4996185;;;;;
non;Colombie;Bogota;oui;;"> Déambuler dans le quartier de la Candelaria, centre historique de la ville
> Se méler aux spectateurs lors d'un match de foot et profiter de l'ambiance électrique.
> Consacrer un moment à la visite du Musée de l'Or et admirer la plus importante collection d'orfèvrerie pré-colombienne
> Faire une excursion à 1h au nord de la ville pour ressentir l'atmosphèremystique de la cathédrale de sel, creuser à 180m de profondeur.";10;11;3;3;2;1;2;2;2;2;3;2;2;2;4.6682475;-74.1011817;;;;;
oui;Costa Rica;San Jose;oui;"Située à 1200 mètre d’altitude et entourée de montagnes et de volcans, San José a été fondée en 1738 et devient la capitale du Costa Rica en 1823. La ville a été bâtie grâce au commerce du café dont les plantations entourent toujours la ville.
San José a conservé peu de bâtiments coloniaux, mais le théâtre national construit en 1890 vaut le détour. Le musée du Jade, le musée de l’or ou encore le musée national vous en apprendront plus sur l’histoire de la civilisation costaricienne.
Bien qu'on y trouve musées, restos et sorties nocturnes, San José est souvent considérée comme une étape par les touristes plus attiré par les richesses naturelles du Costa Rica. Allez faire un tour au marché central et vous comprendrez pourquoi San José gagne à être connue. Le charme de la ville et l’accueil des habitants (les Ticos) y sont très agréables.";"> Se rendre à la Esmeralda vers 23 heures et profiter de la musique jouée par les trios ou les mariachis qui attendent les clients.
 > Aller au Jazz Café, le meilleur club de jazz de la capitale.
> Aller visiter le musée du Jade, le musée de l'or et le musé national.
 > Préparer une randonnée au Parc National Rincon de la Vieja.
 > Découvrir le rafting.
 > Jouer dans l'un des casinos";10;25;3;3;3;3;0;0;0;0;0;0;3;3;9.9358449;-84.1037328;;;;;
non;Croatie;Dubrovnik;;;"> Arpenter les rues de la vielle ville pour son ambiance médiévale
> Visiter l'arboretum ainsi que le fort Fort Lovrijenac et rejouer les scènes de Game of Throne (le site représente Port Réal)
> Aller boire un verre et prendre un bain au Buza Bar";23;44;1;1;1;3;3;3;3;3;3;2;0;1;42.6414002;18.1084066;;;;;
non;Croatie;Zagreb;oui;;"> Flâner le dimanche matin sur la brocante sur la place Britanski trg.
> Découvrir la ville en vélo.
> S'arréter à la place des fleurs pour boire un café et manger un Strukli.
> Déguster la cuisine traditionnelle telle que la Kulen, le janjetina ou le délicieux Zagrebacki odrezak.
> Monter au sommet de la tour Lotrscak pour une vision 360° de la ville. On tire un coup de canon tous les midis depuis plus de 100 ans depuis cet endroit.";10;22;0;1;1;1;2;3;3;3;3;2;1;0;45.8082042;15.9670908;;;;;
non;Cuba;La Havane;oui;;"> Siroter un Cuba libre ou un mojito sur une terasse
 
 > Si l'on est amateur, fumer un habano (authentique cigare cubain), roulé à la main exclusivement par des femmes
 
 > Déguster un congri, plat national cubain.
 
 > Se rendre au célébrissime cabaret Tropicana ou au café Habana.
 
 > Pratiquer plongée sous-marine et sports nautiques au Marina Hemingway.
 
 > Flâner sur le Malécon.";22;14;3;3;3;3;2;2;2;2;2;2;3;3;23.1420513;-82.3765157;;;;;
non;Danemark;Copenhague;oui;;"> Vivre l'ambiance joyeuse et débridée du quartier de Nyhavn.
> Admirer la collection d'oeuvre de Gaughin récolter par le fils du fondateur de la brasserie Carlsberg.
> Visiter la ville utopique et alternative de Christiana, pleine de couleurs.
> Aller saluer la Petite Sirène, seule sur son rocher";24;46;0;0;0;1;1;3;3;3;3;1;1;0;55.6813545;12.575494;;;;;
non;Égypte;Caire;oui;Les origines du Caire remontent au 4ème siècle, avec la fondation par les romains d'une citadelle forteresse nommée Babylone (encore visible dans la ville).  ;"> Bien evidemment visiter les pyramides, dernières des 7 merveilles encore debout. Y aller tôt pour avoir l'occasion de voir l'intérieur. Les billets sont limités. 
> Se promener dans le quartier Khan El Khallili où l'on peut fumer la chicha.
> Se sentir tout petit face au colosse de Ramsès 2, statue couchée inachevée de 10 mètres de long.
> En apprendre plus sur la vie des anciens égyptiens en découvrant le village des égyptiens.
> Longer les bords du Nil et y admirer les couchers de soleil.
> Se mêler à la foule des souks et des bazars.
> Bien evidemment visiter les pyramides, dernières des 7 merveilles encore debout. Y aller tôt pour avoir l'occasion de voir l'intérieur. Les billets sont limités. ";7;17;1;1;3;3;3;2;1;2;3;3;3;2;30.0448978;31.215365;;;;;
non;Émirats Arabes Unis;Abou Dabi;oui;;"> Découvrir le mode de vie nomade sur la réplique d'un camp Bedouin à l'Heritage village (près du Marina Mall).
> Essayer de nouvelles saveurs avec un capuccino au lait de chameau ou un burger de chameau au Emirates Palace.
> Visiter l'impressionante Mosquée Cheikh Zayed et sa bibliothèque (ouverte au non musulman, visite guide possible).
> Pour les passionés de rapace, faire un tour à l'hôpital des Faucons où des visites sont organisées.
> Etre impresionné par la dextérité des femmes dans l'art de la vannerie, du tissage et de la broderie au Woman Craft center (parfait pour acheter les cadeaux).";36;41;3;3;3;3;2;1;0;0;1;2;3;3;25.0627184;55.1307613;;;;;
oui;Espagne;Barcelone;;"Capitale d’une province longtemps indépendante, la Catalogne, Barcelone possède un patrimoine culturel différent du reste de l’Espagne. Située entre collines et plages, c’est la plus flamboyante des villes espagnoles. Le cœur de la ville est composé de petites ruelles et de placettes obscures lui donnant un charme certain. 
Des bâtiments plus modernes se sont développés à la périphérie du quartier médiéval, dont un grand nombre sont nés de l’imagination d’Antoni Gaudí. La Sagrada Familia, toujours inachevée, en est l’exemple le plus connu.
Son climat, sa gastronomie, sa culture et sa mythique équipe de football en font une ville aux multiples attraits. Mais il faut attendre la nuit pour découvrir pourquoi Barcelone est plébiscitée par la jeunesse européenne.";"> S'attabler dans un bar à tapas au marché de la Boqueria
 
 > Profiter de l'animation du quartier des Ramblas
 
 > Admirer les jeux d'éclairage et de jets d'eaux des fontaines de Montjuic 
 
 > Assister à une course de taureaux
 
 > Si vous n'êtes pas pudique, rendez-vous à la plage nudiste de Mar Bella
 
 > S'immerger dans l'ambiance électrique d' un match de football de la fameuse équipe de Barcelone";12;42;2;2;3;3;3;3;3;3;3;3;3;2;41.4031105;2.1762023;;;;;
non;Espagne;Madrid;oui;;"> Savourer des tapas dans l'un des bars de la capitale.
 
 > Se rendre le dimanche matin au quartier ""la Latina"" pour chiner divers objets sur le marché du Rastro.
 
 > Sortir le 31 décembre à la Puerta del Sol pour fêter au son de cloche le Nouvel An.
 
 > Passer à la ""Casa del Pueblo"" célèbre pour le flamenco.";15;38;1;1;1;1;1;3;3;3;3;2;1;1;40.413888;-3.6930927;;;;;
non;Espagne;Valence;;;;14;25;1;1;1;2;3;3;3;3;3;3;2;1;39.4563455;-0.3535052;;;;;
non;États-Unis;Boston;;;"> Se promener sur le campus de Harvard (à défaut d'y avoir fait ses études...).
> Voir les principaux lieux historique de la ville par soi-même en suivant la ""freedom trail"", ligne de 4km en brique rouge sur le sol pour vous guider à travers la révolution américaine. Une carte avec des explications est disponible au bureau du tourisme pour quelques dollars.
> Se rassasier pour un prix raisonnable au Quincy Market.
> Se laisser guider dans la magnifique bibliothèque de la ville.
> En apprendre plus sur les étoiles les mercredis soirs au Coit Observatory (gratuit)
> Flâner dans Beacon Hill pour le charme de ce quartier aux maisons victoriennes.
> Pensez à prendre un city pass si vous comptez cumulez les visites payantes. Elle est rentabilisé au bout de la 3ème entrée.";34;44;0;0;0;1;1;3;3;3;3;1;1;0;42.354411;-71.0667946;;;;;
non;États-Unis;Las Vegas;;;"> Admirer le spectacle aquatique, musical et lumineux de 8 minutes sur les fontaines du fameux Bellagio.  Toutes les 30 minutes, on voux conseille d'arriver au moins 15 minutes en avance.
> Se promener dans un gigantesque jardin botanique, en plein coeur du désert au Bellagio Conservatory and Botanical Gardens, ouvert 7/7, 24h/24 et gratuit.
> Se régaler avec le Craving's buffet du Mirage, un dessert à la Sugar Factory ou encore un steak au Carnevino (parmi les meilleurs grills du monde)
> Pour les amateurs d'art, arrétez-vous à la Gallery of fine art pour y contempler des Picasso, Degas et autres.
> En prendre plein les yeux avec la Fremont street expérience et son écran géant de 460 mètre.
> Se promener sur la Strip, l'artère principale de la ville et y contempler les très luxueux hotels.
> Faire le tour du monde en visitant la ville : entre la réplique de la tour eiffel, des pmyramides, de Venise ... il y a de quoi voyager.
> Faire une excursion pour voir le très célèbre grand canyon, situé non loin de là (version US).";12;43;2;3;3;2;1;1;0;0;1;3;3;3;36.1122667;-115.1782286;;;;;
non;États-Unis;Los Angeles;;;> Se promener près des Stars (ou presque) sur le Walk of Fame, et comparer vos empreintes de mains avec les leurs au théatre chinois TCL.;28;39;1;1;1;1;3;3;3;3;3;3;1;1;34.0563901;-118.2499271;;;;;
non;États-Unis;Miami;;;"> Découvrir la faune (alligators, lamantins, ...) et flore si particulières des everglades.
> Se dépayser en flânant dans la little Havana.
> Profiter de South Beach, son sable chaud, sa mer azur... et ses postes de secours, chacun unique et différend.
> Prendre la route des Keys Island, qui relient 1000 îles et îlots... impressionant et une attraction en soit.
> S'immerger dans le côté branché de la ville, le soir sur Ocean drive.
> Participer à un cours de yoga (gratuit) au bord de l'eau pour un moment relax.
> Si vous êtes du genre ""fan des stars"", un tour de bateau pour voir les villas hors de prix des stars mondiales comme Shakira.";25;46;3;3;3;3;2;2;2;2;0;0;3;3;25.7872534;-80.1958926;;;;;
